Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
241,238,251,245,Sun,Nov,15,23:41:37,2020,00000004,activated,00000004
241,238,251,245,Sun,Nov,15,23:41:37,2020,00000004,activated,00000008
241,238,251,245,Sun,Nov,15,23:41:37,2020,00000004,activated,00000012
241,238,251,245,Sun,Nov,15,23:41:37,2020,00000004,activated,00000016
241,238,251,245,Sun,Nov,15,23:41:37,2020,00000004,activated,00000020
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000024
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000028
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000032
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000036
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000040
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000044
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000048
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000052
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000056
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000060
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000064
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000068
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000072
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000076
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000080
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000084
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000088
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000092
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000096
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000100
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000104
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000108
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000112
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000116
241,238,251,245,Sun,Nov,15,23:41:38,2020,00000004,activated,00000120
267,238,267,247,Sun,Nov,15,23:41:38,2020,00000004,activated,00000124
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000128
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000132
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000136
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000140
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000144
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000148
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000152
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000156
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000160
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000164
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000168
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000172
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000176
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000180
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000184
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000188
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000192
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000196
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000200
267,238,267,247,Sun,Nov,15,23:41:39,2020,00000004,activated,00000204
